,Target,importance
10083,"T_Lymphocyte_Blood | H3K4me3 | ID:58763
",0.10898485
20980,"HepG2 | EZH2 | ENCODE
",0.108966574
19082,"LNAR' | H3K4me3 | ID:86751
",0.10888134
5609,"ECC-1_Epithelium_Endometrium | USF1 | ID:46098
",0.10851378
6852,"Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49604
",0.10830419
9677,"Pfeiffer_B_Lymphocyte_Lymph_Node | H3K27ac | ID:57584
",0.10817041
21362,"K562 | HDAC6 | ENCODE
",0.107968144
20955,"HeLa-S3 | ZKSCAN1 | ENCODE
",0.10793092
6035,"Cortex_Brain | H3K27ac | ID:47258
",0.10769506
4813,"H7_Embryonic_Stem_Cell_Embryo | H3K36me3 | ID:45261
",0.107687935
21248,"iPS-18_Cell_Line | H3K36me3 | Roadmap
",0.10761064
20774,"H1-hESC | Nrf1 | ENCODE
",0.10746445
13939,"K562_Lymphoblast | KAT5 | ID:68490
",0.10691652
12344,"A549_Epithelium_Lung | H3K9me3 | ID:64938
",0.10638566
21252,"iPS-18_Cell_Line | H3K9me3 | Roadmap
",0.106094144
9375,"Brain | H3K27ac | ID:57032
",0.1059979
9827,"LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58318
",0.105780065
6031,"Cortex_Brain | H3K27ac | ID:47254
",0.10514965
8275,"MCF-7_Epithelium_Breast | PR | ID:54037
",0.10510472
5955,"Cortex_Brain | H3K27ac | ID:47158
",0.10494883
1913,"Pancreas | H3K27ac | ID:36945
",0.104487106
21828,"Skeletal_Muscle_Male | H3K36me3 | Roadmap
",0.104436435
13991,"FFPE | H3K4me2 | ID:68564
",0.10418744
15730,"SF8628_Pontine | EZH2 | ID:74213
",0.1041618
10951,"HEK293_Epithelium_Embryonic_Kidney | ZFP3 | ID:62817
",0.10395774
3548,"OCI-Ly3_B_Lymphocyte_Bone_Marrow | STAT3 | ID:42214
",0.10395458
7415,"DKO1_Colon_cancer_cell_Colon | H3K27ac | ID:51168
",0.10385083
4241,"Endothelial_Cell_Artery | H3K9me3 | ID:43964
",0.10383446
152,"HepG2_Epithelium_Liver | NR2C2 | ID:1464
",0.10375438
1158,"Skeletal_Muscle | H3K27me3 | ID:3438
",0.10348722
14570,"Neuroblastoma_cell | H3K27me3 | ID:70721
",0.10311186
10159,"PC-3_Epithelium_Prostate | ETV4 | ID:5924
",0.10290618
3520,"HCT-116_Colon | H3K27ac | ID:42164
",0.10285752
10153,"THP-1_Monocyte_Blood | LYL1 | ID:59007
",0.1028108
14730,"LNCaP_Epithelium_Prostate | RELA | ID:71230
",0.10256487
16800,"LCL_Lymphoblastoid_Blood | ATAC-seq | ID:79317
",0.102545954
19797,"H1299_Epithelium_Lung | H3K4ac | ID:88988
",0.10244881
4098,"Embryonic_Stem_Cell_Embryo | H3K4me3 | ID:43382
",0.10219534
9739,"HeLa_Epithelium_Cervix | H2B | ID:5786
",0.10215956
12502,"HEK293_Epithelium_Embryonic_Kidney | ZNF22 | ID:65178
",0.102137774
11568,"K562_Erythroblast_Bone_Marrow | ZNF740 | ID:63820
",0.1018868
19817,"8988T | DNase | ENCODE
",0.10186178
2250,"T_Lymphocyte_Blood | H3K4me3 | ID:3834
",0.10140037
21350,"K562 | H3K36me3 | Roadmap
",0.10129007
18846,"Muscle | POLR2A | ID:85939
",0.10126758
14242,"VCaP_Epithelium_Prostate | ERG | ID:69267
",0.10120963
5396,"K562_Erythroblast_Bone_Marrow | UBTF | ID:45882
",0.101014145
12919,"Neutrophile | ATAC-seq | ID:66132
",0.10097164
14068,"VAL-3_Embryonic_Stem_Cell | FOXM1 | ID:68837
",0.10092595
6851,"Embryonic_Stem_Cell_Embryo | ZNF486 | ID:49603
",0.10074811
577,"WM262_Melanocyte_Skin | H3K9me3 | ID:2973
",0.10064162
3086,"Fetal_Spinal_Cord | DNase | ID:40846
",0.10047427
20562,"GM12878 | TR4 | ENCODE
",0.100432195
4849,"HepG2_Epithelium_Liver | H3K27me3 | ID:45302
",0.100375205
6899,"U937_Pleura | DEK | ID:49697
",0.10036906
3431,"iPSC | JARID2 | ID:41808
",0.09973866
9973,"LNCaP-abl_Epithelium_Prostate | MED1 | ID:58638
",0.09951705
10151,"NB4_Promyelocytic_cell_Blood | LYL1 | ID:59005
",0.09928128
8827,"HeLa_Epithelium_Cervix | H3K27ac | ID:55462
",0.099208646
18188,"LNCaP_Epithelium_Prostate | HNF4G | ID:84232
",0.09908683
8353,"LNCaP_Epithelium_Prostate | GATA2 | ID:54397
",0.09896944
2496,"B_Lymphocyte_Cord_blood | H3K4me3 | ID:3911
",0.098924704
10754,"NCI-H460 | DNase | ID:62499
",0.098881565
12421,"HEK293_Epithelium_Embryonic_Kidney | KLF12 | ID:65071
",0.09878046
15201,"NCI-H2087_Epithelium_Lung | POLR2A | ID:72395
",0.0987121
19568,"Astrocyte | H3K9me3 | ID:88340
",0.09864996
14762,"Fibroblast_Skin | H3K27me3 | ID:71317
",0.09862278
14538,"Stem_cell_Foreskin | DNMT3B | ID:70178
",0.09850573
9971,"LNCaP-abl_Epithelium_Prostate | POLR2A | ID:58635
",0.09836092
2654,"Monocyte_Blood | H3K27me3 | ID:39795
",0.098340645
13261,"B_Lymphocyte | H3K27ac | ID:66709
",0.098156594
11170,"iPSC | H3K9me3 | ID:63175
",0.09802699
2594,"OCI-Ly7_B_cell_lymphoma_Blood | BACH2 | ID:39577
",0.09802539
12546,"Neutrophile | ATAC-seq | ID:65246
",0.097820945
13486,"LCL_Lymphoblastoid_Blood | H3K27ac | ID:67135
",0.097811006
13242,"MV4-11_Macrophage_Blood | H3K27ac | ID:66632
",0.09769631
10118,"TF-1_Erythroblast_Bone_Marrow | RUNX1 | ID:58877
",0.097583905
7564,"Lymphocyte_Blood | DNase | ID:5155
",0.09736204
21393,"K562 (IFNa6h) | Pol2 | ENCODE
",0.09726576
20032,"Brain_Germinal_Matrix | H3K36me3 | Roadmap
",0.09718611
9691,"IMR90_Fibroblast_Lung | H3K4me3 | ID:57622
",0.09714423
18263,"293T | H3K79me3 | ID:84381
",0.09710669
295,"iPS_DF_19.11_iPSC_Foreskin | H3K9me3 | ID:1896
",0.09709272
6790,"MCF-7_Epithelium_Breast | H3K9me3 | ID:49471
",0.096958436
12520,"H1_Embryonic_Stem_Cell_Embryo | H3K9me3 | ID:6520
",0.09692537
8125,"Embryonic_Stem_Cell | LEF1 | ID:53650
",0.0967234
14333,"Hematopoietic_stem_and_progenitor_cell | H3K27me3 | ID:69625
",0.096705556
20318,"Fetal_Brain_Female | H3K9me3 | Roadmap
",0.0962025
